mosi,miso
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x00
0xFF,0x72
0xFF,0x72
0xFF,0x41
0xFF,0x61
0xFF,0x1C
0xFF,0x90
0xFF,0x1D
0xFF,0x00
0xFF,0x17
0xFF,0x00
0xFF,0x00
0xFF,0x00
